,tree_picture,image_path,tree_dbh,PARENT_KEY,tape,measured_dbh,range
144,1675152298141.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675152298141.jpg,28.3,uuid:1ebd490b-1b36-4148-8e93-06f9950ffb3b,diameter,28.3,25-30
145,1675152045531.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675152045531.jpg,23.6,uuid:382528df-e6c6-401d-b886-2f3f7c3b8199,diameter,23.6,20-25
149,1675151023805.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675151023805.jpg,7.2,uuid:80110948-c00a-443e-b02d-bfa4e405fa88,diameter,7.2,05-10
152,1675150063936.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675150063936.jpg,26.45,uuid:c558c642-891f-4dc4-a737-34c7ac446daf,diameter,26.45,25-30
153,1675151454814.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675151454814.jpg,25.0,uuid:bbdd32c2-91ae-43b5-a4e0-654979704899,diameter,25.0,25-30
156,1675149279494.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675149279494.jpg,16.7,uuid:ad3eb860-dd35-4ee1-a487-96de5ba1045f,diameter,16.7,15-20
157,1675074379053.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675074379053.jpg,30.5,uuid:f811104a-80a8-4cd8-aedb-2ea6e0a337d6,diameter,30.5,30-35
162,1675075079668.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675075079668.jpg,13.5,uuid:6bfaadc6-90f3-4a11-9068-35a4013b12c8,diameter,13.5,10-15
164,1675074558302.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675074558302.jpg,21.0,uuid:ecd93e60-0781-480e-922c-6ce4dc393c74,diameter,21.0,20-25
165,1675073152067.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675073152067.jpg,35.9,uuid:e3a418c0-c64d-4518-bbe5-3ee8604de819,diameter,35.9,35-40
167,1675073824182.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675073824182.jpg,15.9,uuid:5637e6df-bb23-43a8-9c24-8fe2fb9ac3dd,diameter,15.9,15-20
170,1675073200688.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675073200688.jpg,23.2,uuid:ef067801-2721-4c00-b1c7-b95f290b3644,diameter,23.2,20-25
174,1675070421123.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675070421123.jpg,10.85,uuid:669418b3-ea10-4028-bd8f-57d864c19fe4,diameter,10.85,10-15
177,1675068233188.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675068233188.jpg,14.9,uuid:cedb1118-affa-4039-aade-897b2a28d71e,diameter,14.9,10-15
179,1675068894089.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675068894089.jpg,25.7,uuid:cedb1118-affa-4039-aade-897b2a28d71e,diameter,25.7,25-30
193,1675064041673.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064041673.jpg,20.1,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,20.1,20-25
194,1675064237905.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064237905.jpg,14.7,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,14.7,10-15
195,1675064522777.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064522777.jpg,24.7,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,24.7,20-25
196,1675064768693.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064768693.jpg,9.1,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,9.1,05-10
200,1675065957914.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675065957914.jpg,10.4,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,10.4,10-15
